Code,# of Units Min,# of Units Max,# of Colors,Price,Description
CPP021,20,29,1,4.76,1 Color - 20-29 Units
CPP022,20,29,2,7.28,2 Color - 20-29 Units
CPP023,20,29,3,8.47,3 Color - 20-29 Units
CPP024,20,29,4,11.34,4 Color - 20-29 Units
CPP025,20,29,5,12.60,5 Color - 20-29 Units
CPP026,20,29,6,14.56,6 Color - 20-29 Units
CPP021,30,39,1,4.76,1 Color - 30-39 Units
CPP022,30,39,2,7.28,2 Color - 30-39 Units
CPP023,30,39,3,8.47,3 Color - 30-39 Units
CPP024,30,39,4,11.34,4 Color - 30-39 Units
CPP025,30,39,5,12.60,5 Color - 30-39 Units
CPP026,30,39,6,14.56,6 Color - 30-39 Units
CPP021,40,49,1,4.76,1 Color - 40-49 Units
CPP022,40,49,2,7.28,2 Color - 40-49 Units
CPP023,40,49,3,8.47,3 Color - 40-49 Units
CPP024,40,49,4,11.34,4 Color - 40-49 Units
CPP025,40,49,5,12.60,5 Color - 40-49 Units
CPP026,40,49,6,14.56,6 Color - 40-49 Units
CPP021,50,59,1,4.76,1 Color - 50-59 Units
CPP022,50,59,2,7.28,2 Color - 50-59 Units
CPP023,50,59,3,8.47,3 Color - 50-59 Units
CPP024,50,59,4,11.34,4 Color - 50-59 Units
CPP025,50,59,5,12.60,5 Color - 50-59 Units
CPP026,50,59,6,14.56,6 Color - 50-59 Units
CPP061,60,69,1,2.80,1 Color - 60-69 Units
CPP062,60,69,2,4.41,2 Color - 60-69 Units
CPP063,60,69,3,6.16,3 Color - 60-69 Units
CPP064,60,69,4,8.12,4 Color - 60-69 Units
CPP065,60,69,5,9.73,5 Color - 60-69 Units
CPP066,60,69,6,11.90,6 Color - 60-69 Units
CPP061,70,79,1,2.80,1 Color - 70-79 Units
CPP062,70,79,2,4.41,2 Color - 70-79 Units
CPP063,70,79,3,6.16,3 Color - 70-79 Units
CPP064,70,79,4,8.12,4 Color - 70-79 Units
CPP065,70,79,5,9.73,5 Color - 70-79 Units
CPP066,70,79,6,11.90,6 Color - 70-79 Units
CPP061,80,89,1,2.80,1 Color - 80-89 Units
CPP062,80,89,2,4.41,2 Color - 80-89 Units
CPP063,80,89,3,6.16,3 Color - 80-89 Units
CPP064,80,89,4,8.12,4 Color - 80-89 Units
CPP065,80,89,5,9.73,5 Color - 80-89 Units
CPP066,80,89,6,11.90,6 Color - 80-89 Units
CPP101,90,99,1,1.96,1 Color - 90-99 Units
CPP102,90,99,2,3.15,2 Color - 90-99 Units
CPP103,90,99,3,4.41,3 Color - 90-99 Units
CPP104,90,99,4,5.81,4 Color - 90-99 Units
CPP105,90,99,5,6.79,5 Color - 90-99 Units
CPP106,90,99,6,8.40,6 Color - 90-99 Units
CPP101,100,199,1,1.96,1 Color - 100-199 Units
CPP102,100,199,2,3.15,2 Color - 100-199 Units
CPP103,100,199,3,4.41,3 Color - 100-199 Units
CPP104,100,199,4,5.81,4 Color - 100-199 Units
CPP105,100,199,5,6.79,5 Color - 100-199 Units
CPP106,100,199,6,8.40,6 Color - 100-199 Units
CPP101,200,299,1,1.96,1 Color - 200-299 Units
CPP102,200,299,2,3.15,2 Color - 200-299 Units
CPP103,200,299,3,4.41,3 Color - 200-299 Units
CPP104,200,299,4,5.81,4 Color - 200-299 Units
CPP105,200,299,5,6.79,5 Color - 200-299 Units
CPP106,200,299,6,8.40,6 Color - 200-299 Units
CPP301,300,399,1,1.75,1 Color - 300-399 Units
CPP302,300,399,2,2.80,2 Color - 300-399 Units
CPP303,300,399,3,4.13,3 Color - 300-399 Units
CPP304,300,399,4,5.53,4 Color - 300-399 Units
CPP305,300,399,5,6.58,5 Color - 300-399 Units
CPP306,300,399,6,8.12,6 Color - 300-399 Units
CPP301,400,499,1,1.75,1 Color - 400-499 Units
CPP302,400,499,2,2.80,2 Color - 400-499 Units
CPP303,400,499,3,4.13,3 Color - 400-499 Units
CPP304,400,499,4,5.53,4 Color - 400-499 Units
CPP305,400,499,5,6.58,5 Color - 400-499 Units
CPP306,400,499,6,8.12,6 Color - 400-499 Units
CPP501,500,999,1,1.40,1 Color - 500-999 Units
CPP502,500,999,2,2.59,2 Color - 500-999 Units
CPP503,500,999,3,3.92,3 Color - 500-999 Units
CPP504,500,999,4,5.18,4 Color - 500-999 Units
CPP505,500,999,5,6.44,5 Color - 500-999 Units
CPP506,500,999,6,7.98,6 Color - 500-999 Units
CPP111,1000,1999,1,1.33,1 Color - 1000-1999 Units
CPP112,1000,1999,2,2.24,2 Color - 1000-1999 Units
CPP113,1000,1999,3,3.50,3 Color - 1000-1999 Units
CPP114,1000,1999,4,4.62,4 Color - 1000-1999 Units
CPP115,1000,1999,5,5.74,5 Color - 1000-1999 Units
CPP116,1000,1999,6,7.07,6 Color - 1000-1999 Units
CPP211,2000,3499,1,1.26,1 Color - 2000-3499 Units
CPP212,2000,3499,2,2.17,2 Color - 2000-3499 Units
CPP213,2000,3499,3,3.36,3 Color - 2000-3499 Units
CPP214,2000,3499,4,4.55,4 Color - 2000-3499 Units
CPP215,2000,3499,5,5.67,5 Color - 2000-3499 Units
CPP216,2000,3499,6,6.79,6 Color - 2000-3499 Units
CPP351,3500,,1,1.12,1 Color - 3500+ Units
CPP352,3500,,2,2.10,2 Color - 3500+ Units
CPP353,3500,,3,3.15,3 Color - 3500+ Units
CPP354,3500,,4,4.27,4 Color - 3500+ Units
CPP355,3500,,5,5.32,5 Color - 3500+ Units
CPP356,3500,,6,6.44,6 Color - 3500+ Units
CPPH,,,,0.85,Handling
CPPS1C,,,,75.00,1st Setup Color
CPPSAC,,,,45.00,Set-up/colour
